product,issue,sub_product,complaint_id,timely,company_response,submitted_via,company,date_received,state,sub_issue,Month_Year,count
Checking or savings account,Closing an account,Checking account,5038928,Yes,Closed with explanation,Referral,BANK OF THE WEST,22-12-21,NM,Fees charged for closing account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5039916,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,24-12-21,CO,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5040368,Yes,Closed with explanation,Web,Revolut Technologies Inc.,23-12-21,RI,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5044039,Yes,Closed with monetary relief,Referral,PNC Bank N.A.,23-12-21,OR,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5044827,Yes,Closed with monetary relief,Referral,PNC Bank N.A.,23-12-21,OK,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5047435,Yes,Closed with explanation,Web,KEYCORP,28-12-21,CT,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5050494,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,28-12-21,KY,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5055415,Yes,Closed with explanation,Web,ADP Inc.,30-12-21,WI,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5057691,Yes,Closed with explanation,Web,"CITIBANK, N.A.",31-12-21,CO,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5069021,Yes,Closed with explanation,Web,"CHARLES SCHWAB CORPORATION, THE",4/1/2022,NE,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5069209,Yes,Closed with explanation,Web,U.S. BANCORP,4/1/2022,WA,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5069261,Yes,Closed with monetary relief,Referral,ALLY FINANCIAL INC.,3/1/2022,RI,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5076061,Yes,Closed with explanation,Web,FinCo Services Inc DBA Current,5/1/2022,OR,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5078405,Yes,Closed with non-monetary relief,Referral,SYNCHRONY FINANCIAL,6/1/2022,WA,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5079599,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",6/1/2022,NH,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5079677,Yes,Closed with explanation,Web,PNC Bank N.A.,6/1/2022,KY,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5079925,Yes,Closed with explanation,Web,Chime Financial Inc,6/1/2022,AR,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5079935,Yes,Closed with monetary relief,Web,WELLS FARGO & COMPANY,6/1/2022,NH,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5081234,Yes,Closed with explanation,Referral,U.S. BANCORP,6/1/2022,WA,Fees charged for closing account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5084041,Yes,Closed with explanation,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",6/1/2022,WA,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5095396,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",13-01-22,MN,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5096556,Yes,Closed with explanation,Postal mail,"CITIBANK, N.A.",13-01-22,CT,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5099231,Yes,Closed with explanation,Web,U.S. BANCORP,11/1/2022,WA,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5099834,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,11/1/2022,RI,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5102733,Yes,Closed with explanation,Web,Albert Corporation,11/1/2022,CO,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5104446,Yes,Closed with non-monetary relief,Web,JPMORGAN CHASE & CO.,12/1/2022,MN,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5106373,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,13-01-22,IA,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5109888,Yes,Closed with explanation,Web,Chime Financial Inc,14-01-22,MN,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5110722,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,14-01-22,DC,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5110994,Yes,Closed with explanation,Web,PNC Bank N.A.,14-01-22,WA,Can't close your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5111277,Yes,Closed with explanation,Phone,U.S. BANCORP,14-01-22,WA,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5111381,Yes,Closed with explanation,Phone,KEYCORP,14-01-22,WA,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5112438,Yes,Closed with explanation,Web,U.S. BANCORP,15-01-22,MN,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5116212,Yes,Closed with explanation,Web,"CITIBANK, N.A.",17-01-22,AR,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5121489,Yes,Closed with monetary relief,Web,"HUNTINGTON NATIONAL BANK, THE",18-01-22,MN,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,Checking account,5122957,Yes,Closed with explanation,Web,DISCOVER BANK,19-01-22,CT,Funds not received from closed account,31-01-22,1
